   r (kpc/h)    Vrot   N(i)  Vrot(measured)   %error        Vcirc       Vc%error       vphirms/vphirm_th Vr_rms/Vr_rms_th   Vz_rms/Vz_rms_th  
    0.31080   15.35786    1.00000  -15.55002    2.01251   25.43131    0.00597    0.00004    0.00004    0.00007
    0.31360   15.45549    1.00000  -35.24210    3.28023   25.61436   -0.01176    0.00004    0.00007    0.00007
    0.31640   15.55335    1.00000   52.51821   -2.37665   25.79693    0.00000    0.00004    0.00004    0.00060
    0.31920   15.65141    1.00000    5.65936    0.63841   25.97905    0.00000    0.00004    0.00004    0.00007
    0.32200   15.74969    1.00000  -40.91056    3.59755   26.16070    0.00000    0.00014    0.00036    0.00007
    0.32480   15.84814    1.00000  -43.21017    3.72651   26.34189    0.00000    0.00004    0.00004    0.00007
    0.32760   15.94681    1.00000  -21.59324    2.35408   26.52263   -0.01097    0.00007    0.00016    0.00007
    0.33040   16.04565    1.00000   20.78053   -0.29509   26.70292    0.00000    0.00004    0.00004    0.00013
    0.33320   16.14466    1.00000    3.72254    0.76943   26.88276    0.00000    0.00004    0.00020    0.00007
    0.33600   16.24385    1.00000   41.33166   -1.54445   27.06215    0.00000    0.00004    0.00004    0.00008
    0.33880   16.34320    1.00000  110.33273   -5.75099   27.24109    0.00000    0.00063    0.00011    0.00007
    0.34160   16.44270    1.00000   59.77241   -2.63519   27.41960    0.01027    0.00004    0.00009    0.00007
    0.34440   16.54235    1.00000   18.12544   -0.09570   27.59766    0.00000    0.00004    0.00009    0.00007
    0.34720   16.64216    1.00000  -53.94017    4.24118   27.77530    0.00000    0.00032    0.00003    0.00007
    0.35000   16.74209    1.00000  -16.49710    1.98537   27.95250    0.00000    0.00010    0.00003    0.00007
    0.35280   16.84215    1.00000   25.26346   -0.50001   28.12927   -0.00975    0.00009    0.00003    0.00017
    0.35560   16.94233    1.00000 -105.36564    7.21907   28.30562    0.00000    0.00004    0.00003    0.00007
    0.35840   17.04265    1.00000   13.89431    0.18473   28.48154    0.00000    0.00004    0.00031    0.00007
    0.36120   17.14308    1.00000  -91.11662    6.31507   28.65705    0.00000    0.00004    0.00003    0.00007
    0.36400   17.24360    1.00000   44.34906   -1.57191   28.83213    0.00929    0.00006    0.00003    0.00007
    0.36680   17.34425    1.00000   10.68487    0.38395   29.00680    0.00000    0.00004    0.00003    0.00007
    0.36960   17.44499    1.00000    1.59131    0.90878   29.18105    0.00000    0.00004    0.00003    0.00066
    0.37240   17.54582    1.00000   31.67932   -0.80552   29.35489    0.00000    0.00004    0.00006    0.00015
    0.37520   17.64674    1.00000   20.27058   -0.14869   29.52833    0.00000    0.00004    0.00003    0.00007
    0.37800   17.74775    1.00000  -17.65540    1.99480   29.70135    0.00000    0.00004    0.00030    0.00007
    0.38080   17.84883    1.00000  -30.21262    2.69270   29.87398    0.00000    0.00004    0.00003    0.00011
    0.38360   17.94998    1.00000   22.25846   -0.24003   30.04620    0.00000    0.00004    0.00038    0.00007
    0.38640   18.05122    1.00000   16.35016    0.09423   30.21802    0.00000    0.00004    0.00003    0.00007
    0.38920   18.15251    1.00000  101.15472   -4.57249   30.38945    0.00000    0.00004    0.00012    0.00008
    0.39200   18.25386    1.00000    0.36384    0.98007   30.56048    0.00000    0.00004    0.00007    0.00007
    0.39480   18.35529    1.00000   77.84216   -3.24086   30.73112   -0.00817    0.00004    0.00030    0.00025
    0.39760   18.45675    1.00000  -22.56578    2.22263   30.90137    0.00000    0.00005    0.00003    0.00033
    0.40040   18.55828    1.00000   18.18987    0.01985   31.07123    0.00000    0.00006    0.00005    0.00014
    0.40320   18.65984    1.00000   -3.75770    1.20138   31.24070    0.00000    0.00004    0.00003    0.00007
    0.40600   18.76144    1.00000   38.04507   -1.02783   31.40979    0.00000    0.00012    0.00003    0.00007
    0.40880   18.86309    1.00000   30.28348   -0.60544   31.57850    0.00000    0.00014    0.00003    0.00007
    0.41160   18.96478    1.00000  -13.79494    1.72740   31.74683   -0.00766    0.00005    0.00005    0.00008
    0.41440   19.06650    1.00000  -13.89698    1.72887   31.91478    0.00000    0.00004    0.00003    0.00007
    0.41720   19.16825    1.00000   30.31600   -0.58157   32.08236   -0.00750    0.00004    0.00003    0.00007
    0.42000   19.27001    1.00000   34.49327   -0.79000   32.24955    0.00000    0.00004    0.00023    0.00007
    0.42280   19.37182    1.00000  -21.77880    2.12425   32.41639    0.00000    0.00004    0.00027    0.00007
    0.42560   19.47362    1.00000    9.39041    0.51779   32.58285    0.00000    0.00004    0.00013    0.00007
    0.42840   19.57545    1.00000   14.31475    0.26874   32.74894    0.00000    0.00004    0.00003    0.00007
    0.43120   19.67730    1.00000   54.38985   -1.76409   32.91467    0.00000    0.00004    0.00026    0.00020
    0.43400   19.77915    1.00000   81.44855   -3.11790   33.08003    0.00000    0.00029    0.00023    0.00024
    0.43680   19.88100    1.00000    0.01181    0.99941   33.24503    0.00000    0.00004    0.00017    0.00007
    0.43960   19.98287    1.00000    6.35593    0.68193   33.40967    0.00000    0.00004    0.00003    0.00015
    0.44240   20.08473    1.00000   -9.69353    1.48263   33.57395    0.00000    0.00004    0.00003    0.00026
    0.44520   20.18660    1.00000  130.15396   -5.44754   33.73787   -0.00678    0.00004    0.00003    0.00028
    0.44800   20.28846    1.00000    7.07699    0.65118   33.90144    0.00000    0.00004    0.00063    0.00007
